File Name,Total Time,Tempo,Song Key,Instruments,Note Count
AThousandLies.mid,374.14215599999994,84,Unknown,"33, 30",9322
Atlantis.mid,60.723162,146,Unknown,"88, 25",478
ATouchOfEvil.mid,279.927192,100,Unknown,"48, 122, 100, 30",3986
ATraceOfBlood.mid,496.3307636666666,153,Unknown,"0, 33, 48, 24, 30",6269
Attack.mid,172.9175535,168,Unknown,"33, 29, 30",6394
AtTheEndOfAugust.mid,224.04018000000002,99,Unknown,"33, 30",6824
AtTheGatesOfHell.mid,274.94701599999996,48,Unknown,"34, 30",5878
AtTheGraves.mid,532.5208279999998,100,Unknown,"33, 10, 43, 44, 112, 16, 91, 29, 30",9808
AttitudeSong.mid,267.375,120,Unknown,30,3302
ATWA.mid,176.4921955,80,0,"25, 34, 30",2151
Automatic.mid,205.161092,62,Unknown,"34, 29, 30",2800
AveMariaNoMorro.mid,162.50040689999997,113,Unknown,"25, 33",6265
AVisitFromTheDead.mid,357.91452,154,Unknown,"33, 30",6496
AvoidTheLight.mid,377.67837000000003,112,Unknown,"25, 34",6469
Awake.mid,262.935,100,0,"32, 34, 14, 28, 29, 30",2556
Awaken.mid,261.3,100,Unknown,"36, 30",4836
Awakenings.mid,485.1311251666668,130,0,"0, 34, 17, 50, 30",7746
AWarmPlace.mid,203.86104,73,5,"33, 35, 75, 16, 49, 50, 84, 24, 27",1444
Away copy.mid,244.35435,124,Unknown,"96, 33, 48, 89, 91, 30",1524
AWay.mid,115.77459,142,Unknown,"34, 30",2826
AWintersDream-(Part1)Prelude.mid,183.5253315375,68,Unknown,"24, 33, 48, 1",1587
AWorldSoCold.mid,51.2,150,Unknown,27,640
AWorldWithoutHeroes.mid,162.333948,112,7,"33, 11, 48, 81, 25, 60, 30",1854
B.Y.O.B..mid,246.02439999999999,160,Unknown,"32, 80, 25, 29, 30, 31",8263
BabeImGonnaLeaveYou.mid,371.99962800000003,140,0,"32, 12, 50, 51, 52, 24, 26, 27, 61",7645
